Title,Rank,Votes,Score,"Esoteric
Rank","Esoteric
Score",Source,Episodes,Studio,First Air Date,Last Air Date,Genres,AniListID,TMDbID,IMGID
Mai-HiME,308,1,18,352,1.3,Original,26,Sunrise,2004-09-30,2005-03-31,"Action, Comedy, Drama, Fantasy, Mecha, Romance",98,12599,/cWZhtbCNHGtivsebbbxxnw8mczE.jpg
Hellsing Ultimate,365,1,10,352,1.3,Manga,10,MADHOUSE,2006-02-10,2012-12-26,"Action, Horror, Supernatural",777,61752,/evZtiZzMX9VFoM1zzvRUmPoLPBg.jpg
Afro Samurai,373,1,9,352,1.3,Other,5,GONZO,2007-01-04,2007-02-01,"Action, Adventure",1292,19544,/1wif9a57obZA5N1UujiluoUahkI.jpg
Popotan,373,1,9,352,1.3,Visual Novel,12,Shaft,2003-07-17,2003-10-02,"Comedy, Drama, Ecchi, Supernatural",610,35129,/jD0P5NmedXCT9mODoICKW32ugzu.jpg
Mobile Suit Z Gundam,373,1,9,352,1.3,Original,50,Sunrise,2007-10-06,2009-03-29,"Drama, Mecha, Sci-Fi",80,21732,/dcUTOm6XXLT2ITQVCubkSwQ6qCE.jpg
Hakuoki ~Demon of the Fleeting Blossom~,412,1,5,352,1.3,Visual Novel,34,Studio DEEN,2010-04-03,2012-09-25,"Action, Drama, Supernatural",6895,44318,/x98F4iTVwojYvpngeGbr9SXss7M.jpg
Nisekoi,248,1,27,359,1.2,Manga,32,Shaft,2014-01-11,2015-06-26,"Comedy, Romance",18897,62640,/x15LnCbRgRlZFnq2kQdbW9tlheZ.jpg
Encouragement of Climb,248,1,27,359,1.2,Manga,49,8-bit,2013-01-03,2018-09-25,"Adventure, Comedy, Slice of Life",14355,53918,/4Of4kzRyYlzImnFm75o4JVw7uz6.jpg
Mobile Suit Gundam 00,248,1,27,359,1.2,Original,50,Sunrise,2007-10-06,2009-03-29,"Action, Drama, Mecha, Sci-Fi",2581,21732,/dcUTOm6XXLT2ITQVCubkSwQ6qCE.jpg
Neighborhood Stories,385,1,8,359,1.2,Manga,,Toei Animation,,,"Comedy, Drama, Romance, Slice of Life",852,,
Monster Rancher,433,1,3,359,1.2,Video Game,73,TMS Entertainment,1999-08-30,2001-10-07,"Action, Adventure, Comedy, Fantasy",1469,15130,/yi77t39040fU3cgUBZa7wggpJrt.jpg
Ikki Tousen,458,1,1,359,1.2,Manga,49,J.C. Staff,2003-07-30,2010-06-11,"Action, Ecchi",257,37584,/eV0cphNP9cyYL28Rxcs1C3lbEGj.jpg
Waiting in the SUmmer,252,1,26,365,1.1,Original,12,J.C. Staff,2012-01-10,2012-03-27,"Comedy, Drama, Romance, Sci-Fi, Slice of Life",11433,42499,/lWzw48MVt1zql1CA3YLugqIlA1F.jpg
Gungrave,252,1,26,365,1.1,Video Game,26,MADHOUSE,2003-10-07,2004-03-30,"Action, Drama, Sci-Fi",267,5894,/4WdnoEFLhM70XSLlV1lkvCl56Ax.jpg
To Heart!,252,1,26,365,1.1,Visual Novel,26,OLM,1999-04-02,2004-12-25,"Drama, Romance, Slice of Life",472,27346,/ooh3dKluSIvJPRpXsVaM9Ze9ajA.jpg
Digimon Tamers,252,1,26,365,1.1,Original,51,Toei Animation,2001-04-01,2002-03-31,"Adventure, Drama, Fantasy",874,9302,/uEs5GRuibXsSnAH2Hr0DiWupyzb.jpg
Charge!! Men's Private School,252,1,26,365,1.1,Manga,34,Toei Animation,1988-02-25,1988-11-14,"Action, Comedy",2903,88796,/bJTLwEgfl5lVF5fqCAc24Ljsa7Z.jpg
JoJo's Bizarre Adventure (1993),259,1,25,365,1.1,Manga,13,APPP,1993-11-19,2002-01-25,"Action, Adventure, Drama, Horror, Supernatural",666,60862,/1aIajBb89PA4w00bJ5faPoXLMFY.jpg
White Album 2,259,1,25,365,1.1,Visual Novel,13,Satelight,2013-10-06,2013-12-29,"Drama, Music, Romance, Slice of Life",18245,70072,/lwRNHfZyPWOI2oFNfIoaXsiwGJB.jpg
Gundam Build Fighters,286,1,20,365,1.1,Original,50,Sunrise,2013-10-07,2015-03-25,"Action, Mecha, Sci-Fi",19319,60667,/g0BsIJXTZBEQYgnl7xJmWFMQ9W1.jpg
Renkin San-kyuu Magical? Pokaan,333,1,14,365,1.1,Original,12,Remic,2006-04-04,2006-06-20,"Comedy, Ecchi",941,33728,/l09DBGlfomCZzD5jyMkj0CaE1Jw.jpg
Space Cobra,392,1,7,365,1.1,Manga,31,Tokyo Movie Shinsha,1982-10-07,1983-05-19,"Action, Adventure, Sci-Fi",2451,8880,/lsocXzEZv1fqUN5zVqptMvIUEMy.jpg
Dai-Guard,402,1,6,365,1.1,Original,26,Xebec,1999-10-05,2000-03-28,"Adventure, Comedy, Mecha, Sci-Fi",1312,8664,/n32SvAd8yemNQaffaspz4eWQfd6.jpg
Tonkatsu DJ Ageratou,458,1,1,365,1.1,Manga,,Studio DEEN,,,"Comedy, Music",21297,,
Kimagure Orange Road,458,1,1,365,1.1,Manga,48,Studio Pierrot,1987-04-06,1988-03-07,"Action, Comedy, Drama, Fantasy, Romance",1087,9103,/qPkVS7LtHwxgNfEIDDoJC8ruPxm.jpg
Japan Animator Expo,264,1,24,378,1,,36,,2014-11-07,2015-10-09,,,103927,/c0hdu4gPQPiyK6y2N6mQONHUecM.jpg
Tesagure! Bukatsu-mono,264,1,24,378,1,Original,36,,2013-10-06,2015-06-20,"Comedy, Slice of Life",19919,57407,/7NIO5cfhOrKUq3XATLwsTxWPw6L.jpg
Love Wind,264,1,24,378,1,Manga,13,A.C.G.T.,2004-04-01,2004-07-07,"Drama, Psychological, Romance, Slice of Life",634,42861,/91EOvXwhKkNh72eynkn46BsATqx.jpg
Great Pretender,268,1,23,378,1,Original,23,Wit Studio,2020-07-09,2020-12-17,"Action, Comedy, Drama, Thriller",110349,93816,/rI7ieYbsIquhDLkLoVIlDC0J91Z.jpg
Manga Children's Library,268,1,23,378,1,,,,,,"Drama, Fantasy",20231,,
Desert Punk,268,1,23,378,1,Manga,24,GONZO,2004-10-04,2005-03-28,"Action, Adventure, Comedy, Ecchi, Sci-Fi",25,29616,/mJ22FZbnULTrfohVbm0JEcYTTRo.jpg
Beyond the Boundary,277,1,22,378,1,Light Novel,12,Kyoto Animation,2013-10-02,2013-12-18,"Action, Drama, Fantasy, Slice of Life, Supernatural",18153,61695,/6cmtMbEZAYm3aWzthFRk6048LFi.jpg
Cat Soup Theater,283,1,21,378,1,Manga,27,,1999-07-09,1999-10-01,,,26769,/5V6o4IO3APP0I4DLMLuv0glMf7.jpg
Rage of Bahamut: Genesis,286,1,20,378,1,Video Game,36,MAPPA,2014-10-06,2017-09-30,"Action, Adventure, Fantasy, Supernatural",20590,61445,/osUNCb2v2kIlyLg9DgM5zBlnyRB.jpg
Mitsudomoe,286,1,20,378,1,Manga,22,Bridge,2010-07-02,2011-02-27,"Comedy, Slice of Life",7627,35532,/nr1ianmsNMFgZXiSXSk4fyMxj5s.jpg
Tenchi Muyo,286,1,20,378,1,Original,28,AIC,1992-09-25,2021-05-28,"Comedy, Romance, Sci-Fi",696,43004,/jQMDb6sS3IpWOZNkbPQZLLfNM3w.jpg
Cross Game,286,1,20,378,1,Manga,50,SynergySP,2009-04-05,2010-03-28,"Comedy, Drama, Romance, Sports",5941,46337,/grfEAsk3rrTSh1OcEeISI3N2oYN.jpg
7 Seeds,301,1,19,378,1,Manga,24,GONZO,2019-06-28,2020-03-26,"Action, Adventure, Drama, Horror, Mystery, Psychological, Romance, Sci-Fi",105807,85940,/iQMkaPbDKwThXTnpVUAWhtgnQVp.jpg
Demon Slayer,301,1,19,378,1,Video Game,26,Studio Signpost,2019-04-06,2019-09-28,"Adventure, Comedy, Fantasy",21612,85937,/wrCVHdkBlBWdJUZPvnJWcBRuhSY.jpg
Crest of the Stars,301,1,19,378,1,Other,38,Sunrise,1999-01-02,2005-08-06,"Action, Romance, Sci-Fi",290,26209,/5irXefwuaYeu9IdRKSgga1hmxgE.jpg
Aikatsu!,301,1,19,378,1,Video Game,178,Sunrise,2012-10-08,2016-03-31,Music,15061,65503,/tdFVCOq8AR4L92XiCzdQZK56bCL.jpg
The Heroic Legend of Arslan,308,1,18,378,1,Novel,33,LIDENFILMS,2015-04-05,2016-08-21,"Action, Adventure, Drama, Fantasy",20935,62430,/xL5gslWFKXr2TVWPOPmZBvhvxAt.jpg
Tsuki ga Kirei,308,1,18,378,1,Original,12,feel.,2017-04-07,2017-06-30,"Drama, Romance, Slice of Life",98202,70880,/wWFVlj4TBKjWfcvM5dXVs4gDThl.jpg
Run with the Wind,308,1,18,378,1,Other,23,Production I.G,2018-10-03,2019-03-27,"Comedy, Drama, Sports",101903,82766,/zBZLWzncbPeeLhi6DJAx7MspHlS.jpg
Tiger & Bunny,308,1,18,378,1,Original,25,Sunrise,2011-04-02,2011-09-17,"Action, Comedy, Mystery",9941,39659,/qyFMwoPDeKZWpvAyLAhhXDgOI9R.jpg
Fancy Lala,317,1,17,378,1,Original,26,Studio Pierrot,1998-04-05,1998-09-27,"Comedy, Drama, Mahou Shoujo, Music, Romance",604,9428,/7oxkqC4e1vgm50dTEeK6pVzBIR4.jpg
Kakushigoto,317,1,17,378,1,Manga,12,Ajiado,2020-04-02,2020-06-18,"Comedy, Slice of Life",113311,95433,/odtryn9XCRIo33oLDaAaaTNgiuQ.jpg
Astarotte's Toy,317,1,17,378,1,Manga,12,diomedéa,2011-04-10,2011-06-26,"Comedy, Ecchi, Fantasy, Romance",9736,42508,/fvRvDhGsSvQpGGcg6sVnxFa2O4N.jpg
SSSS.Gridman,317,1,17,378,1,Original,12,Trigger,2018-10-07,2018-12-23,"Action, Mecha, Sci-Fi",99424,82895,/4l9EA3CCn9BQi95Rj2xlj5PSZB.jpg
Shaman King,324,1,16,378,1,Manga,52,Xebec,2021-04-01,2021-07-22,"Action, Adventure, Comedy, Drama, Supernatural",154,104699,/6770ijAy0N5SDmdFKCIVwiSFvhp.jpg
Rokka: Braves of Six Flowers,324,1,16,378,1,Light Novel,12,Passione,2015-07-05,2015-09-20,"Action, Adventure, Fantasy, Mystery",20955,63146,/8wpv1sveOnCfvlTMjZ0tmxfOHlf.jpg
Orange,324,1,16,378,1,Manga,13,Telecom Animation Film,2016-07-04,2016-09-26,"Drama, Romance, Supernatural",21647,66958,/o9dLDFxGuNvH9qAOBnbVNKgJVbn.jpg
Love Live!,333,1,14,378,1,Original,12,Imagin,2021-07-11,2021-07-18,"Comedy, Ecchi, Romance",275,106055,/gFs2oxAjyzMu7Bx9mUJKeW3K4ym.jpg
That Time I Got Reincarnated as a Slime,333,1,14,378,1,Light Novel,48,8-bit,2018-10-02,2021-08-03,"Action, Adventure, Comedy, Fantasy",101280,82684,/jQb1ztdko9qc4aCdnMXShcIHXRG.jpg
Ratio of Forest,333,1,14,378,1,Original,,,,,"Adventure, Fantasy, Slice of Life",101906,,
Magia Record: Puella Magi Madoka Magica Side Story,340,1,13,378,1,Video Game,21,Shaft,2020-01-05,2021-08-01,"Drama, Mahou Shoujo, Mystery, Psychological, Thriller",104051,94523,/ySz7DoQvwaZLvQ3b5DbUOteATE.jpg
Middle Manager Tonegawa,340,1,13,378,1,Manga,24,MADHOUSE,2018-07-04,2018-12-26,"Comedy, Drama, Psychological",101161,80463,/4wSWVBPK6SYnUMjKjXPKN79aFFJ.jpg
Hitoribocchi no Marumaru Seikatsu,340,1,13,378,1,Manga,12,C2C,2019-04-06,2019-06-22,"Comedy, Slice of Life",101386,85990,/btoTzCw3zmjRtB99g2M5Mw2GUQG.jpg
Martian Successor Nadesico,340,1,13,378,1,Original,26,Xebec,1996-10-01,1997-03-24,"Action, Comedy, Mecha, Romance, Sci-Fi",218,35544,/iKd4q8iY1mcCCJ0GYBh9uJdlpUn.jpg
Rainbow,347,1,12,378,1,Original,19,,2017-08-11,2019-08-30,Music,136531,73275,/cdflZ8czbWKeSyousytVXsGzyFU.jpg
Pokemon: Twilight Wings,347,1,12,378,1,Video Game,7,Studio Colorido,2020-01-15,2020-08-06,"Adventure, Drama, Fantasy, Slice of Life",113932,96420,/s3tiTMRcYbR4lgQUOxWZ8w4QMqZ.jpg
Blue Spring Ride,347,1,12,378,1,Manga,12,Production I.G,2014-07-08,2014-09-23,"Comedy, Drama, Romance, Slice of Life",20596,62602,/uKSWt1oRsbH3VpVJxqHQ47Ea8Ev.jpg
Tsuritama,347,1,12,378,1,Original,12,A-1 Pictures,2012-04-13,2012-06-29,"Comedy, Sci-Fi, Slice of Life, Sports",12883,45283,/1yoAAwD26fPYpILq2YCjzwVCJSy.jpg
Hanasaku Iroha,347,1,12,378,1,Original,26,P.A. Works,2011-04-03,2011-09-25,"Comedy, Drama, Slice of Life",9289,42417,/532lxog4WHvXsgT02rHjFF6TSrx.jpg
Fang of the Sun Dougram,347,1,12,378,1,,75,Sunrise,1981-10-23,1983-03-25,"Drama, Mecha, Sci-Fi",2257,8909,/3VsRMpdnhoFWwTo9AAZQtuBlsap.jpg
Rin: Daughters of Mnemosyne,357,1,11,378,1,Original,6,Xebec,2008-02-03,2008-07-06,"Action, Ecchi, Horror, Sci-Fi, Supernatural",3342,42953,/b8b7VDTnlZXunMAKoFfm52ThmuF.jpg
Ghost in the Shell: Arise,357,1,11,378,1,,10,Production I.G,2015-04-05,2015-06-07,"Mecha, Sci-Fi",20776,62070,/9zTsKmbEkzeWLMb8LOwUcyFsOcr.jpg
Occultic;Nine,357,1,11,378,1,Light Novel,12,A-1 Pictures,2016-10-09,2016-12-25,"Mystery, Sci-Fi, Supernatural, Thriller",21708,68185,/5EUgaawNTblWWpnnzq4Hm0QEryU.jpg
"Say ""I Love You"".",357,1,11,378,1,Manga,13,ZEXCS,2012-10-07,2012-12-30,"Drama, Romance",14289,52878,/jCTTTaVz2a6f7T9mvJu5zQgxMEU.jpg
Kamichu!,357,1,11,378,1,Original,16,Brain's Base,2005-06-28,2007-11-13,"Comedy, Slice of Life, Supernatural",489,1096,/eUUcjUWDuyir0rsOH2cLD9N0HZF.jpg
The Diary of Tortov Roddle,357,1,11,378,1,Original,,Robot,,,"Adventure, Fantasy",1205,,
Garo: The Animation,365,1,10,378,1,Other,26,MAPPA,2014-10-03,2016-04-01,"Action, Fantasy, Supernatural",20753,63453,/cl9x83myIZtDSqHPu4WMekKt7E0.jpg
